222,KRISHNA TEXTILE,5006- SOMESHWAR MARKET,24JTIPK6021D1ZW,
223,VIJAY TEXTIL,"G-45, SHREE KUBERJI WORLD, SAROLI",24AFNPP0106N1ZD,
224,RESHMA SAREE,"L-4673, MILLENNIUM MARKET",24AHJPG0839R1ZY,
225,LAKSHYA FABRICS,"UG-15, RAGHUVEER BUSINESS EMPIRE, AAI MATA CHOWK, ",24AFFPJ7581M1Z0,
226,KISHORIJI SAREES,"B-3205, KOHINOOR TEXTILE MARKET",24AFSPS3736C1ZA,
227,YUKTI AN ETHNICAL,"B-21, CENTRAL PARK, PANDESARA",24AACFY0145L1Z7,
228,SHIVAM COLOURS,"70/1, ANAND MANGAL IND.,PAREKH ESTATE, UDHNA",24AWHPS1687C1ZG,
229,AKSHAY PRODUCTS,"7014, SHREE KUBERJI WORLD, SAROLI",24CUNPM8597H1ZT,
230,DARSHAN TEXTILE,"2A/213, MOTA KUBHARWAD, RUSTAMPURA",24AAJFD8153A1ZS,
231,SHIV MAHIMA SAREES,"8, GROUND FLOOR , MILLENNIUM - 2",24ADHPT0047J1ZJ,
232,NAVKAR NX,"U-511 TO 519, SALASAR TEXTILE MARKET, SAROLI",24BISPS6908Q1Z5,
233,ROOP RATAN SAREES,"L-2, 1st FLOOR, STM",24AFZPJ1041G1Z1,
234,VISHWANATH SILK MILL,F-3434 GLOBAL TEXTILE MARKET,,
235,MANPRIYA FASHION,"1047, ABHISHEK MARKET",,
236,JAYDEV PRINTS,"C-1254, RAGHUKUL MARKET",24AUVPA7501PZ8,
237,S.S TEXTILES,"5683, GLOBAL TEXTILE MARKET",24AAPHM1633J1Z3,
238,SHEELA SAREES,"3083, SHREE MAHAVEER MARKET, RINGROAD",24AANPC7282M1ZB,
239,VIKRAM SILK MILLS,"1273, NTM",24AAMPC2473R1ZB,
240,VEERANGANA SAREES,"1112, ABHINANDAN MARKET",24AGMPC7617D1ZO,
241,WAAH INDIA,"1074, T.T MARKET",24AJDPD5804B1Z0,
242,TARANG SAREE,"114, HTC MARKET",,
243,SHREE GAJANAND CREATION,"2044, ABHINANDAN MARKET",24ADKPJ6315Q1Z5,
244,PAWAN PUTRA TEXTILES,"H-1552, RKTM",,
245,DIRA FASHION,"F-5379, GLOBAL TEXTILE MARKET, OPP. NEW BOMBAY MARKET",24ABIPM2133K1ZS,
246,SUMAN CREATION,"325, TRADE CENTER, B/H ASHOKA TOWER",,
247,SHREE SHYAM SILK HOUSE,"B/3-2025, REGENT MARKET",,
